date,SPY,TLT,GLD,DBC,UUP
2015-10-29,175.01425170898438,90.01385498046875,109.72000122070312,12.723835945129395,21.169052124023438
2015-10-30,174.25997924804688,90.69345092773438,109.30000305175781,12.850651741027832,21.0938663482666
2015-11-02,176.32159423828125,90.2766342163086,108.58999633789062,12.7830171585083,21.07715606689453
2015-11-03,176.8328399658203,89.53639221191406,106.9800033569336,13.011285781860352,21.13563346862793
2015-11-04,176.2965087890625,89.64002227783203,105.97000122070312,12.791470527648926,21.311067581176758
2015-11-05,176.12051391601562,89.40318298339844,105.63999938964844,12.690018653869629,21.327777862548828
2015-11-06,176.02828979492188,88.09285736083984,104.0999984741211,12.61392879486084,21.578399658203125
2015-11-09,174.3856964111328,87.59687805175781,104.4000015258789,12.504021644592285,21.5366268157959
2015-11-10,174.78793334960938,87.85594940185547,104.18000030517578,12.478658676147461,21.595102310180664
2015-11-11,174.10073852539062,87.67090606689453,103.83000183105469,12.351842880249023,21.5366268157959
2015-11-12,171.67037963867188,88.09285736083984,103.8499984741211,12.174300193786621,21.444730758666992
2015-11-13,169.7427978515625,88.5962142944336,103.55999755859375,12.081303596496582,21.519916534423828
2015-11-16,172.32400512695312,88.5147933959961,103.70999908447266,12.140483856201172,21.636873245239258
2015-11-17,172.19833374023438,88.66287231445312,102.33999633789062,11.954487800598145,21.6702880859375
2015-11-18,174.93051147460938,88.84793853759766,102.43000030517578,12.005213737487793,21.6702880859375
2015-11-19,174.7796173095703,89.44013977050781,103.55999755859375,12.005213737487793,21.519916534423828
2015-11-20,175.41650390625,89.16624450683594,103.08999633789062,11.98830509185791,21.6702880859375
2015-11-23,175.21539306640625,89.44013977050781,102.26000213623047,12.081303596496582,21.703706741333008
2015-11-24,175.4499969482422,89.4327621459961,102.94000244140625,12.275754928588867,21.661935806274414
2015-11-25,175.42491149902344,89.64002227783203,102.45999908447266,12.258845329284668,21.703706741333008
2015-11-27,175.6260223388672,89.55117797851562,101.25,12.07284927368164,21.73712158203125
2015-11-30,174.8968963623047,89.906494140625,101.91999816894531,11.996759414672852,21.787248611450195
2015-12-01,176.5646514892578,91.12093353271484,102.27999877929688,12.13202953338623,21.68699836730957
2015-12-02,174.76280212402344,91.15061950683594,100.69000244140625,11.878398895263672,21.73712158203125
2015-12-03,172.31568908691406,88.67280578613281,101.76000213623047,12.013668060302734,21.219175338745117
2015-12-04,175.6763458251953,89.45181274414062,104.0199966430664,11.996759414672852,21.36954689025879
2015-12-07,174.61199951171875,90.31970977783203,102.66999816894531,11.650130271911621,21.436376571655273
2015-12-08,173.43869018554688,90.36427307128906,102.83999633789062,11.590950012207031,21.36954689025879
2015-12-09,172.08938598632812,90.26779174804688,102.63999938964844,11.599404335021973,21.14398765563965
2015-12-10,172.5335693359375,90.38648986816406,102.55000305175781,11.557132720947266,21.26094627380371
2015-12-11,169.1896514892578,91.81080627441406,103.11000061035156,11.43877124786377,21.17740249633789
2015-12-14,170.0444793701172,90.62390899658203,101.79000091552734,11.36268138885498,21.219175338745117
2015-12-15,171.82955932617188,90.0897445678711,101.5199966430664,11.337318420410156,21.336130142211914
2015-12-16,174.3438262939453,89.8968505859375,102.75,11.286592483520508,21.336130142211914
2015-12-17,171.68710327148438,90.91321563720703,100.5,11.168231010437012,21.5366268157959
2015-12-18,168.6284637451172,91.41764068603516,102.04000091552734,11.21895694732666,21.41131591796875
